"","region","country","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law","Conflicts","Fatalities","year"
"260",6,66,1.895473,1.585309,0.5828653,1.72305,1.618773,468,0,2021
"261",6,68,,,,,,1,0,2020
"262",6,69,-0.0660192,0.3382609,0.1740548,0.4140628,0.1526495,320,8,2018
"263",6,69,-0.0118192,0.4055903,0.2909985,0.529879,0.198838,867,6,2019
"264",6,69,-0.0118192,0.4055903,0.2909985,0.529879,0.198838,939,6,2020
"265",6,69,-0.0118192,0.4055903,0.2909985,0.529879,0.198838,111,0,2021
"266",6,70,1.043699,0.8137978,1.896815,1.360825,1.745989,2,0,2020
"267",6,70,1.043699,0.8137978,1.896815,1.360825,1.745989,2,0,2021
"268",6,79,-0.0010352,0.4953651,0.7325271,0.6034867,0.4931345,207,0,2020
"269",6,79,-0.0010352,0.4953651,0.7325271,0.6034867,0.4931345,6,0,2021
"270",6,80,1.707973,1.518278,1.655899,1.372984,1.766924,33,3,2020
"271",6,80,1.707973,1.518278,1.655899,1.372984,1.766924,7,0,2021
"272",6,85,1.458099,1.281375,0.9733633,1.60191,1.39423,302,0,2020
"273",6,85,1.458099,1.281375,0.9733633,1.60191,1.39423,16,0,2021
"274",6,86,,,,,,7,0,2020
"275",6,88,0.2398421,0.4619361,0.4626993,0.9549631,0.280191,5738,0,2020
"276",6,88,0.2398421,0.4619361,0.4626993,0.9549631,0.280191,929,0,2021
"277",6,95,-0.5190936,-0.4283053,-0.6640014,-0.325615,-0.3710781,145,3,2018
"278",6,95,-0.5561343,-0.3494129,-0.3924663,-0.3472778,-0.3930174,137,0,2019
"279",6,95,-0.5561343,-0.3494129,-0.3924663,-0.3472778,-0.3930174,104,0,2020
"280",6,95,-0.5561343,-0.3494129,-0.3924663,-0.3472778,-0.3930174,11,0,2021
"281",6,99,0.4849398,1.105028,0.4488481,1.192686,1.013924,70,0,2020
"282",6,99,0.4849398,1.105028,0.4488481,1.192686,1.013924,6,0,2021
"283",6,104,1.968311,1.696766,1.627746,1.540814,1.679333,2,0,2020
"284",6,105,0.675986,1.043381,0.842194,1.157364,1.022871,61,0,2020
"285",6,105,0.675986,1.043381,0.842194,1.157364,1.022871,7,0,2021
"286",6,106,2.112196,1.733646,1.362118,1.699882,1.793426,38,0,2020
"287",6,106,2.112196,1.733646,1.362118,1.699882,1.793426,4,0,2021
"288",6,111,0.2393866,0.85842,1.090187,0.9556454,0.9522323,56,0,2020
"289",6,111,0.2393866,0.85842,1.090187,0.9556454,0.9522323,2,0,2021
"290",6,115,-0.7268325,-0.4665205,-0.395564,-0.0303003,-0.4136537,189,0,2018
"291",6,115,-0.6186848,-0.3834049,-0.3827971,0.0097867,-0.3730286,237,0,2019
"292",6,115,-0.6186848,-0.3834049,-0.3827971,0.0097867,-0.3730286,304,0,2020
"293",6,115,-0.6186848,-0.3834049,-0.3827971,0.0097867,-0.3730286,38,0,2021
"294",6,116,,,1.591874,,,3,0,2020
"295",6,116,,,1.591874,,,1,0,2021
"296",6,118,0.0228173,0.1311615,0.0525616,0.3582489,0.0984407,92,2,2018
"297",6,118,-0.0301263,0.1562576,0.0106019,0.3652315,0.0957448,146,0,2019
"298",6,118,-0.0301263,0.1562576,0.0106019,0.3652315,0.0957448,357,0,2020
"299",6,118,-0.0301263,0.1562576,0.0106019,0.3652315,0.0957448,8,0,2021
"300",6,125,1.999758,1.798008,0.8572519,1.861079,1.808467,730,1,2020
"301",6,125,1.999758,1.798008,0.8572519,1.861079,1.808467,129,0,2021
"302",6,130,-0.3648497,0.0902431,-0.2000881,0.5263917,-0.2839102,85,1,2018
"303",6,130,-0.4094637,-0.0024858,-0.0492005,0.5087845,-0.2434363,197,0,2019
"304",6,130,-0.4094637,-0.0024858,-0.0492005,0.5087845,-0.2434363,234,0,2020
"305",6,130,-0.4094637,-0.0024858,-0.0492005,0.5087845,-0.2434363,22,0,2021
"306",6,131,2.073468,1.862292,1.186128,1.804055,1.984915,303,1,2020
"307",6,131,2.073468,1.862292,1.186128,1.804055,1.984915,35,0,2021
"308",6,139,0.602715,0.6016292,0.5215149,1.014124,0.452093,1836,0,2020
"309",6,139,0.602715,0.6016292,0.5215149,1.014124,0.452093,293,0,2021
"310",6,140,0.7639953,1.154005,1.128248,0.969747,1.135677,373,2,2020
"311",6,140,0.7639953,1.154005,1.128248,0.969747,1.135677,40,0,2021
"312",6,144,,,,,,486,0,2018
"313",6,144,,,,,,602,1,2019
"314",6,144,,,,,,200,3,2020
"315",6,144,,,,,,96,0,2021
"316",6,145,-0.8452116,-0.0608858,-0.5320781,-0.5463259,-0.8152295,1544,104,2018
"317",6,145,-0.8318732,0.1503649,-0.542304,-0.4316224,-0.7236885,2101,46,2019
"318",6,145,-0.8318732,0.1503649,-0.542304,-0.4316224,-0.7236885,1624,53,2020
"319",6,145,-0.8318732,0.1503649,-0.542304,-0.4316224,-0.7236885,506,6,2021
"320",6,151,,,0.8996959,,,5,0,2020
"321",6,154,-0.3702491,0.1116198,0.0172842,0.1131436,-0.1466,217,5,2018
"322",6,154,-0.4455515,0.0190787,-0.0916651,0.1138671,-0.1190698,1067,1,2019
