"","year","region","country","FatalitiesName","ConflictsName","Fatalities","Conflicts","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law"
"152",2018,"East Asia","North Korea",0,25,0,25,-1.566452,-1.57276,-0.3389556,-2.361374,-1.634117
"153",2019,"East Asia","North Korea",10,37,10,37,-1.589358,-1.396788,-0.3049034,-2.396794,-1.651461
"154",2020,"East Asia","North Korea",8,46,8,46,-1.589358,-1.396788,-0.3049034,-2.396794,-1.651461
"155",2021,"East Asia","North Korea",6,15,6,15,-1.589358,-1.396788,-0.3049034,-2.396794,-1.651461
"156",2018,"East Asia","South Korea",0,3560,0,2500,0.6042064,1.182665,0.6009347,1.10297,1.23576
"157",2019,"East Asia","South Korea",0,5404,0,2500,0.7567343,1.376418,0.4780881,1.069813,1.194071
"158",2020,"East Asia","South Korea",0,4918,0,2500,0.7567343,1.376418,0.4780881,1.069813,1.194071
"159",2021,"East Asia","South Korea",0,673,0,673,0.7567343,1.376418,0.4780881,1.069813,1.194071
"160",2018,"East Asia","Taiwan",0,567,0,567,1.027812,1.362331,0.8534263,1.382462,1.111544
"161",2019,"East Asia","Taiwan",0,823,0,823,1.045266,1.436754,0.7195977,1.40276,1.141121
"162",2020,"East Asia","Taiwan",0,529,0,529,1.045266,1.436754,0.7195977,1.40276,1.141121
"163",2021,"East Asia","Taiwan",0,123,0,123,1.045266,1.436754,0.7195977,1.40276,1.141121
"164",2018,"Eastern Africa","Burundi",287,844,287,844,-1.450813,-1.419982,-1.561205,-0.9778942,-1.496228
"165",2019,"Eastern Africa","Burundi",303,791,303,791,-1.45847,-1.326322,-1.64903,-0.9495389,-1.431905
"166",2020,"Eastern Africa","Burundi",329,646,329,646,-1.45847,-1.326322,-1.64903,-0.9495389,-1.431905
"167",2021,"Eastern Africa","Burundi",35,52,35,52,-1.45847,-1.326322,-1.64903,-0.9495389,-1.431905
"168",2018,"Eastern Africa","Djibouti",0,3,0,3,-0.7168902,-0.8990966,-0.1290753,-0.6979581,-0.9224761
"169",2019,"Eastern Africa","Djibouti",4,18,4,18,-0.8556599,-0.7133427,-0.3445927,-0.7717019,-0.9144034
"170",2020,"Eastern Africa","Djibouti",0,35,0,35,-0.8556599,-0.7133427,-0.3445927,-0.7717019,-0.9144034
"171",2021,"Eastern Africa","Djibouti",2,11,2,11,-0.8556599,-0.7133427,-0.3445927,-0.7717019,-0.9144034
"172",2018,"Eastern Africa","Eritrea",1,6,1,6,-1.316185,-1.727732,-0.5966769,-2.213971,-1.586008
"173",2019,"Eastern Africa","Eritrea",0,4,0,4,-1.394767,-1.757369,-0.7195499,-2.274918,-1.595496
"174",2020,"Eastern Africa","Eritrea",1,8,1,8,-1.394767,-1.757369,-0.7195499,-2.274918,-1.595496
"175",2021,"Eastern Africa","Eritrea",0,1,0,1,-1.394767,-1.757369,-0.7195499,-2.274918,-1.595496
"176",2018,"Eastern Africa","Ethiopia",1402,782,1000,782,-0.4862171,-0.6074697,-1.269462,-0.9712701,-0.4283645
"177",2019,"Eastern Africa","Ethiopia",667,318,667,318,-0.4064651,-0.6345773,-1.279597,-0.8889709,-0.4734782
"178",2020,"Eastern Africa","Ethiopia",3268,433,1000,433,-0.4064651,-0.6345773,-1.279597,-0.8889709,-0.4734782
"179",2021,"Eastern Africa","Ethiopia",256,115,256,115,-0.4064651,-0.6345773,-1.279597,-0.8889709,-0.4734782
"180",2018,"Eastern Africa","Kenya",341,463,341,463,-0.8523029,-0.4108523,-1.174071,-0.2227789,-0.4111333
"181",2019,"Eastern Africa","Kenya",269,352,269,352,-0.7772462,-0.3832689,-1.123664,-0.2770375,-0.4543177
"182",2020,"Eastern Africa","Kenya",297,434,297,434,-0.7772462,-0.3832689,-1.123664,-0.2770375,-0.4543177
"183",2021,"Eastern Africa","Kenya",29,27,29,27,-0.7772462,-0.3832689,-1.123664,-0.2770375,-0.4543177
"184",2018,"Eastern Africa","Madagascar",110,91,110,91,-1.000645,-1.153121,-0.5702538,-0.7335708,-0.8138813
"185",2019,"Eastern Africa","Madagascar",350,327,350,327,-1.00937,-1.142454,-0.2525476,-0.7300456,-1.008813
"186",2020,"Eastern Africa","Madagascar",354,313,354,313,-1.00937,-1.142454,-0.2525476,-0.7300456,-1.008813
"187",2021,"Eastern Africa","Madagascar",14,25,14,25,-1.00937,-1.142454,-0.2525476,-0.7300456,-1.008813
"188",2018,"Eastern Africa","Malawi",13,43,13,43,-0.7446045,-0.7286705,-0.4234232,-0.6767547,-0.3803955
"189",2019,"Eastern Africa","Malawi",27,119,27,119,-0.7811527,-0.7494367,-0.2672529,-0.7011955,-0.3311234
"190",2020,"Eastern Africa","Malawi",57,237,57,237,-0.7811527,-0.7494367,-0.2672529,-0.7011955,-0.3311234
"191",2021,"Eastern Africa","Malawi",9,36,9,36,-0.7811527,-0.7494367,-0.2672529,-0.7011955,-0.3311234
"192",2018,"Eastern Africa","Mozambique",213,134,213,134,-0.7809925,-0.8742813,-0.8135263,-0.7521439,-1.0435
"193",2019,"Eastern Africa","Mozambique",663,352,663,352,-0.8010145,-0.8232896,-0.7454386,-0.7247643,-1.020184
"194",2020,"Eastern Africa","Mozambique",1782,658,1000,658,-0.8010145,-0.8232896,-0.7454386,-0.7247643,-1.020184
"195",2021,"Eastern Africa","Mozambique",70,49,70,49,-0.8010145,-0.8232896,-0.7454386,-0.7247643,-1.020184
"196",2018,"Eastern Africa","Rwanda",36,21,36,21,0.5783511,0.2068089,0.1185909,0.0864492,0.1178017
"197",2019,"Eastern Africa","Rwanda",44,18,44,18,0.564346,0.1850227,0.1156722,0.0773843,0.0761882
"198",2020,"Eastern Africa","Rwanda",18,19,18,19,0.564346,0.1850227,0.1156722,0.0773843,0.0761882
"199",2021,"Eastern Africa","Rwanda",0,2,0,2,0.564346,0.1850227,0.1156722,0.0773843,0.0761882
"200",2018,"Eastern Africa","Somalia",4495,2383,1000,2383,-1.800312,-2.19103,-2.248764,-2.251584,-2.332044
"201",2019,"Eastern Africa","Somalia",4031,2519,1000,2500,-1.709963,-2.237149,-2.383227,-2.203132,-2.350358
"202",2020,"Eastern Africa","Somalia",3140,2637,1000,2500,-1.709963,-2.237149,-2.383227,-2.203132,-2.350358
"203",2021,"Eastern Africa","Somalia",452,401,452,401,-1.709963,-2.237149,-2.383227,-2.203132,-2.350358
"204",2018,"Eastern Africa","South Sudan",1432,777,1000,777,-1.728171,-2.449409,-2.431055,-2.045286,-1.957827
"205",2019,"Eastern Africa","South Sudan",1806,565,1000,565,-1.773724,-2.451555,-2.558902,-2.048965,-1.969724
"206",2020,"Eastern Africa","South Sudan",2371,863,1000,863,-1.773724,-2.451555,-2.558902,-2.048965,-1.969724
"207",2021,"Eastern Africa","South Sudan",223,114,223,114,-1.773724,-2.451555,-2.558902,-2.048965,-1.969724
"208",2018,"Eastern Africa","Tanzania",37,40,37,40,-0.4464366,-0.7562658,-0.5617821,-0.622853,-0.555015
"209",2019,"Eastern Africa","Tanzania",35,43,35,43,-0.3908709,-0.8790504,-0.3620471,-0.6409062,-0.5779313
"210",2020,"Eastern Africa","Tanzania",43,51,43,51,-0.3908709,-0.8790504,-0.3620471,-0.6409062,-0.5779313
"211",2021,"Eastern Africa","Tanzania",0,2,0,2,-0.3908709,-0.8790504,-0.3620471,-0.6409062,-0.5779313
"212",2018,"Eastern Africa","Uganda",131,347,131,347,-1.038054,-0.6060399,-0.6932233,-0.2512031,-0.2948378
"213",2019,"Eastern Africa","Uganda",159,361,159,361,-1.165626,-0.5852001,-0.6457884,-0.3742244,-0.3146112
"214",2020,"Eastern Africa","Uganda",290,664,290,664,-1.165626,-0.5852001,-0.6457884,-0.3742244,-0.3146112
"215",2021,"Eastern Africa","Uganda",71,135,71,135,-1.165626,-0.5852001,-0.6457884,-0.3742244,-0.3146112
"216",2018,"Europe","Albania",1,222,1,222,-0.5219214,0.114788,0.3783375,0.2684412,-0.3923339
"217",2019,"Europe","Albania",0,354,0,354,-0.5287576,-0.0613309,0.1185695,0.2743798,-0.4111794
"218",2020,"Europe","Albania",0,226,0,226,-0.5287576,-0.0613309,0.1185695,0.2743798,-0.4111794
"219",2021,"Europe","Albania",0,12,0,12,-0.5287576,-0.0613309,0.1185695,0.2743798,-0.4111794
"220",2020,"Europe","Andorra",0,7,0,7,1.234392,1.908749,1.615139,1.228176,1.579939
"221",2021,"Europe","Andorra",0,2,0,2,1.234392,1.908749,1.615139,1.228176,1.579939
"222",2020,"Europe","Austria",6,377,6,377,1.545429,1.490911,0.9801227,1.459116,1.883051
"223",2021,"Europe","Austria",0,137,0,137,1.545429,1.490911,0.9801227,1.459116,1.883051
"224",2020,"Europe","Bailiwick of Guernsey",0,6,0,6,,,,,
"225",2020,"Europe","Bailiwick of Jersey",0,5,0,5,,,,,
"226",2018,"Europe","Belarus",0,107,0,107,-0.1922859,-0.3010303,0.3559107,-0.6518698,-0.8328676
"227",2019,"Europe","Belarus",0,186,0,186,-0.059539,-0.1833328,0.2891302,-0.5437806,-0.7944578
"228",2020,"Europe","Belarus",5,1811,5,1811,-0.059539,-0.1833328,0.2891302,-0.5437806,-0.7944578
"229",2021,"Europe","Belarus",0,540,0,540,-0.059539,-0.1833328,0.2891302,-0.5437806,-0.7944578
"230",2020,"Europe","Belgium",0,820,0,820,1.551961,1.032227,0.4811862,1.290999,1.363715
"231",2021,"Europe","Belgium",0,104,0,104,1.551961,1.032227,0.4811862,1.290999,1.363715
"232",2018,"Europe","Bosnia and Herzegovina",1,254,1,254,-0.5718637,-0.6185398,-0.3866947,-0.2110692,-0.2333702
"233",2019,"Europe","Bosnia and Herzegovina",1,186,1,186,-0.6131452,-0.634277,-0.4004397,-0.1940023,-0.2335416
"234",2020,"Europe","Bosnia and Herzegovina",0,145,0,145,-0.6131452,-0.634277,-0.4004397,-0.1940023,-0.2335416
"235",2021,"Europe","Bosnia and Herzegovina",0,23,0,23,-0.6131452,-0.634277,-0.4004397,-0.1940023,-0.2335416
